Region,UF,Mean_General,Student_Count,Math,Language,Humanities,Natural_Sciences,Essay
SE,RJ,526.7965808801576,117229,492.12129484436053,519.5411900225185,567.7004287805004,486.21367628177694,571.6397360255233
CO,DF,526.4797930034377,29767,488.0800280716169,522.2957459904934,566.3483966785932,492.6925149397346,566.8875353716612
S,PR,523.8639361677224,71197,487.9980284822307,517.6320476638446,569.1435208890139,491.1658671093541,555.5461124273099
SE,MG,522.8247016164419,140535,494.8028186115086,511.5798664701292,564.1814942102561,489.7749497240169,556.8388506636119
SE,SP,521.86221726142,306962,488.4166267859217,520.3002232809358,563.5287706143494,488.1205621175932,552.0305772502579
S,SC,519.7147032504139,47717,485.01076795368436,512.1199246600123,562.8784942174087,486.48932972269455,554.3404122692002
S,RS,518.491037297921,74249,481.58786560342577,515.7691315504205,563.4147131833145,480.93578897659046,553.6634035413691
SE,ES,508.69484030800453,35151,480.3933104878189,499.08877791848954,554.1372142143571,480.68145304025126,531.7566136009181
NE,SE,508.487432175991,14228,466.0965453642619,491.03595035460995,549.8490254028569,473.6766096685666,563.8461703497104
CO,GO,507.5926344265079,51044,469.5434244312188,500.419476281439,551.1403933731156,478.0697948365564,541.2264776173357
NE,RN,504.0905410740789,23133,462.3697729360809,492.18968382385094,546.6960471056847,472.29045639560064,549.4776985427648
CO,MS,504.0510853020979,20148,465.1183549739807,495.82611748068086,549.0350605351003,477.1664557277393,535.820894761006
NE,PB,501.6278104506523,28566,457.4290628203769,489.85419715123885,546.9620551835361,466.2390355953007,549.7340493862404
NE,PE,500.64368071269087,66733,463.46795437654515,491.95611704950346,546.028088065238,467.6220062488734,536.8268527341469
NE,BA,497.2134509497401,80601,452.8042220573254,488.9792503363553,546.6075239789508,465.68163288162174,534.2513762634289
NE,PI,493.46116213573004,26926,452.4569314904296,482.5851686823679,539.7712549252843,463.9176214729172,530.5753575357536
N,PA,492.102895507656,52007,443.8775317689249,483.2760218992324,540.2213926417022,461.35537049888194,534.315688788088
CO,MT,492.0939339752407,25445,447.9243274712921,484.3873303894019,540.1151874234704,468.04758348152535,522.6920099417349
NE,AL,490.5315912198336,20235,445.2873478347635,478.97056153999597,535.2980793980794,458.3306401306995,536.9773197959287
N,RO,489.7326603998807,14521,446.8149520856821,483.35482144114957,541.2108143547274,466.34245478392927,512.8912032066423
NE,CE,488.8178315276899,98026,453.37163248495966,477.777627793529,533.0577294488318,457.48360853641066,526.8242577156058
N,RR,488.39551425188193,3941,438.9139450492483,482.9815544041451,536.2926523297491,462.9349730976172,524.5605700712589
N,AP,483.6717383904693,8226,430.95620039682535,477.5336514625682,530.370407416443,453.94385986328126,528.1785534907082
N,TO,482.24078450700523,12681,444.53537272580905,474.40315594557603,533.0004349545275,455.68312242961093,505.7940791625777
N,AM,481.0883469554785,29731,430.60129271814617,475.44193038518364,527.6157098473592,449.44479159629805,525.5419546247819
NE,MA,480.69295234451596,41821,437.7043658188331,473.46148300471754,530.2154441542259,450.05493288590606,514.06340624232
N,AC,480.52597637597387,7958,432.1223422033681,474.52439933187713,530.7865643477168,450.77966272338284,516.8937141366719
