UF,PISA,SAEB,ENEM,R_PISA,R_SAEB,R_ENEM,S
PR,423.0684596687406,253.1428976155797,466.2425184811616,2.0,8.0,3.0,13.0
ES,427.79530762914015,253.4002607226328,462.4479175356274,1.0,7.0,4.0,12.0
DF,417.1566485144476,253.85920278056116,469.8117322738386,4.0,6.0,1.0,11.0
SC,413.7246089989433,266.17852738905805,450.6466554834186,5.0,1.0,10.0,16.0
MG,417.66904279840986,258.0126320712193,460.0962785314419,3.0,3.0,8.0,14.0
GO,402.79569351618176,255.75247331329672,444.1163250487579,8.0,5.0,13.0,26.0
SP,404.4961255140527,252.54442643147596,443.4165700764004,6.0,10.0,15.0,31.0
RS,403.28818470571423,257.1811911307674,460.1170306157716,7.0,4.0,7.0,18.0
MS,397.63753132358994,261.46393767194337,443.88029218921895,10.0,2.0,14.0,26.0
MT,391.069590404032,241.79106269260404,425.457395883472,13.0,16.0,21.0,50.0
CE,397.8653502495672,252.63494029143763,400.82788152670025,9.0,9.0,26.0,44.0
AM,395.764318801622,244.86541441480392,411.9021973372065,11.0,14.0,25.0,50.0
RR,390.3344919774089,234.92845965309203,390.9510403005464,14.0,22.0,27.0,63.0
AC,394.0278603924825,246.03544483101396,420.032829339143,12.0,13.0,23.0,48.0
PI,375.4541024046793,240.58727447956824,448.2745211215897,19.0,17.0,11.0,47.0
RJ,385.176890160149,248.11225100895504,461.009945725848,15.0,12.0,5.0,32.0
PE,381.79210473575336,240.38715778659488,446.9616882439481,17.0,18.0,12.0,47.0
RO,382.6019640597138,252.01152688466277,421.253760097821,16.0,11.0,22.0,49.0
RN,372.1132872092828,238.5298168301312,458.214397624176,22.0,19.0,9.0,50.0
PB,374.0116446215588,234.5089360045072,460.9370035346352,20.0,24.0,6.0,50.0
AP,372.4246724597054,229.01058212441603,427.5147057578324,21.0,26.0,20.0,67.0
SE,368.3572837866385,238.25961109427092,467.3976454276171,23.0,20.0,2.0,45.0
PA,378.7992238670161,234.5365203313154,436.7432622678701,18.0,23.0,18.0,59.0
TO,366.202983980485,242.59724579370885,416.789741070802,24.0,15.0,24.0,63.0
BA,360.4924915948589,235.39813979942065,439.987281391892,26.0,21.0,17.0,64.0
MA,362.8413862101144,228.89902081120965,427.798243512974,25.0,27.0,19.0,71.0
AL,352.5573318754897,231.32872450229172,442.6159202435312,27.0,25.0,16.0,68.0
