UF,PISA,SAEB,ENEM,R_PISA,R_SAEB,R_ENEM,S
PR,434.5981805286912,253.1428976155797,466.2425184811616,1.0,8.0,3.0,12.0
ES,426.2743150384194,253.4002607226328,462.4479175356274,2.0,7.0,4.0,13.0
DF,425.6687839029769,253.85920278056116,469.8117322738386,3.0,6.0,1.0,10.0
SC,419.0448367816092,266.17852738905805,450.6466554834186,4.0,1.0,10.0,15.0
MG,413.2888698153194,258.0126320712193,460.0962785314419,5.0,3.0,8.0,16.0
GO,407.3093841875248,255.75247331329672,444.1163250487579,6.0,5.0,13.0,24.0
SP,407.1936239567992,252.54442643147596,443.4165700764004,7.0,10.0,15.0,32.0
RS,406.2414977777778,257.1811911307674,460.1170306157716,8.0,4.0,7.0,19.0
MS,398.5322569360676,261.46393767194337,443.88029218921895,9.0,2.0,14.0,25.0
MT,397.0918041556145,241.79106269260404,425.457395883472,10.0,16.0,21.0,47.0
CE,396.0304953604568,252.63494029143763,400.82788152670025,11.0,9.0,26.0,46.0
AM,394.4574105392157,244.86541441480392,411.9021973372065,12.0,14.0,25.0,51.0
RR,391.9942376196421,234.92845965309203,390.9510403005464,13.0,22.0,27.0,62.0
AC,390.24975966447846,246.03544483101396,420.032829339143,14.0,13.0,23.0,50.0
PI,389.865438055166,240.58727447956824,448.2745211215897,15.0,17.0,11.0,43.0
RJ,384.6358702726473,248.11225100895504,461.009945725848,16.0,12.0,5.0,33.0
PE,382.3423837301587,240.38715778659488,446.9616882439481,17.0,18.0,12.0,47.0
RO,382.2607878787878,252.01152688466277,421.253760097821,18.0,11.0,22.0,51.0
RN,379.118088836478,238.5298168301312,458.214397624176,19.0,19.0,9.0,47.0
PB,376.0826137071651,234.5089360045072,460.9370035346352,20.0,24.0,6.0,50.0
AP,375.7022662517289,229.01058212441603,427.5147057578324,21.0,26.0,20.0,67.0
SE,369.14490099009896,238.25961109427092,467.3976454276171,22.0,20.0,2.0,44.0
PA,368.6382872340426,234.5365203313154,436.7432622678701,23.0,23.0,18.0,64.0
TO,366.9771186778176,242.59724579370885,416.789741070802,24.0,15.0,24.0,63.0
BA,365.919911918795,235.39813979942065,439.987281391892,25.0,21.0,17.0,63.0
MA,361.5622415584415,228.89902081120965,427.798243512974,26.0,27.0,19.0,72.0
AL,358.9029788359789,231.32872450229172,442.6159202435312,27.0,25.0,16.0,68.0
