Region,UF,SAEB_General,Math_Mean,Language_Mean,SES_Index,Public_Share
SE,ES,288.566401179941,292.85587020648967,284.27693215339235,3.4025735294117645,0.9474497681607419
CO,DF,285.43942748091604,289.112213740458,281.7666412213741,4.050373134328358,0.903010033444816
S,RS,275.34131044487424,277.5719825918762,273.11063829787236,3.863323500491642,0.9813910211677134
CO,GO,273.1650961538462,274.2422041420119,272.0879881656805,3.281925343811395,0.9721048182586645
SE,MG,271.8829941618015,274.0795204336947,269.6864678899083,3.346423562412342,0.978446405323304
N,RO,271.1042819148936,273.1915425531915,269.01702127659576,3.1420863309352516,0.9292929292929293
SE,SP,270.38299163679807,270.09193548387094,270.6740477897252,3.8665421336654213,0.9756236907255761
S,PR,269.85833773087074,271.63133905013194,268.0853364116095,3.841616602949208,0.9718094405594405
CO,MS,269.20508090614885,270.1812944983819,268.2288673139159,3.488372093023256,0.9364161849710982
NE,CE,267.79794668587897,268.7956772334294,266.80021613832855,2.071485623003195,0.970360824742268
NE,PE,267.7333632862644,268.87627727856227,266.5904492939666,2.5,0.975669849091469
N,AC,266.99622222222223,266.99111111111114,267.0013333333333,2.804560260586319,0.960919540229885
SE,RJ,265.6468595744681,266.0262468085107,265.26747234042557,3.4044495151169425,0.9684966411860088
S,SC,264.8797668810289,268.10186495176845,261.6576688102894,4.110934182590234,0.9727722772277227
NE,SE,262.48128205128205,263.87035897435896,261.09220512820514,2.3049450549450547,0.9448818897637795
CO,MT,262.1433496332519,264.1519804400978,260.1347188264059,3.2758620689655173,0.9450282942603072
N,TO,258.84068421052626,261.714947368421,255.96642105263155,2.8297872340425534,0.9255079006772009
NE,PI,256.99281976744186,259.54257751937985,254.44306201550387,2.205298013245033,0.9603399433427762
NE,RN,255.89458588957058,256.7838957055215,255.00527607361963,2.6391752577319587,0.9532770927968851
NE,AL,255.89375,256.23553278688524,255.55196721311475,2.1398058252427186,0.9561011904761905
N,RR,253.6384782608696,254.82275362318842,252.45420289855073,3.2560975609756095,0.9325396825396826
NE,PB,252.96668674698793,253.28910843373492,252.64426506024094,2.3509933774834435,0.9691745036572623
NE,BA,247.95873251748253,248.42959790209792,247.48786713286714,2.547801963294921,0.9866306143908667
N,AP,246.20214953271028,245.22130841121495,247.18299065420558,3.007380073800738,0.9295039164490861
N,AM,245.82154135338345,245.68,245.96308270676693,2.9063291139240506,0.9503141062250143
NE,MA,245.07801265822786,244.44378481012657,245.71224050632912,2.109270216962525,0.9811498586239397
N,PA,242.3551726973684,242.49113486842103,242.21921052631578,2.4027777777777777,0.9813870474247832
