Region,UF,SAEB_General,Math_Mean,Language_Mean
S,RS,284.57173469387754,282.45328385899813,286.69018552875696
SE,ES,283.22768382352945,282.8902205882353,283.5651470588235
S,PR,281.2943603801169,278.45747807017545,284.13124269005846
CO,GO,281.23207729468595,279.7672624798712,282.69689210950077
S,SC,278.5048774509804,278.51450980392156,278.4952450980392
NE,PE,276.2857152682256,275.33774415405776,277.23368638239344
NE,CE,275.5191592261905,274.2732589285714,276.7650595238095
SE,SP,275.2504563106796,270.75477669902915,279.7461359223301
CO,MS,275.02008547008546,272.23264957264956,277.80752136752136
CO,DF,272.9691,270.11580000000004,275.82239999999996
SE,MG,271.4751807580175,270.3009329446064,272.6494285714286
NE,PB,268.7356016042781,265.9823262032086,271.4888770053476
N,RO,266.2753594771242,264.818431372549,267.7322875816993
N,AC,265.66284482758624,264.1887931034483,267.13689655172413
NE,PI,265.25925170068024,265.6363945578231,264.8821088435374
NE,RN,263.65596385542165,260.545,266.76692771084333
SE,RJ,263.3585288966725,259.6557793345009,267.06127845884413
CO,MT,263.35392384105955,261.45377483443707,265.2540728476821
N,TO,259.51688016528925,258.95995867768596,260.07380165289254
NE,SE,259.250125,257.6380625,260.8621875
NE,AL,258.90392857142854,258.43026785714284,259.3775892857143
N,PA,258.13141304347823,255.54565217391303,260.7171739130435
NE,BA,254.59149630541873,252.80866995073893,256.3743226600985
N,AM,254.56972527472527,253.05923076923077,256.08021978021975
N,AP,254.53464285714284,250.41190476190474,258.65738095238095
NE,MA,250.2166911764706,248.9386274509804,251.4947549019608
N,RR,243.95285714285717,246.50035714285715,241.40535714285716
